"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4528","filtering the search","chromium","Sun Jun 01 20:48:13 IST 2025","passed","Sun Jun 01 20:48:18 IST 2025","TS_01 : Web development Courses","TS_01.spec.js","",""
"","8239","storing output in object","chromium","Sun Jun 01 20:48:18 IST 2025","passed","Sun Jun 01 20:48:26 IST 2025","TS_01 : Web development Courses","TS_01.spec.js","",""
"","5424","getting languages and levels","chromium","Sun Jun 01 20:48:30 IST 2025","passed","Sun Jun 01 20:48:35 IST 2025","TS_02 : Language and Levels","TS_02.spec.js","",""
"","3288","navigation","chromium","Sun Jun 01 20:48:26 IST 2025","passed","Sun Jun 01 20:48:29 IST 2025","TS_02 : Language and Levels","TS_02.spec.js","",""
"","4","writing output in json","chromium","Sun Jun 01 20:48:59 IST 2025","passed","Sun Jun 01 20:48:59 IST 2025","TS_03 : Enterprise","TS_03.spec.js","",""
"","1804","filling details","chromium","Sun Jun 01 20:48:56 IST 2025","passed","Sun Jun 01 20:48:58 IST 2025","TS_03 : Enterprise","TS_03.spec.js","",""
"","3744","searching","chromium","Sun Jun 01 20:48:09 IST 2025","passed","Sun Jun 01 20:48:13 IST 2025","TS_01 : Web development Courses","TS_01.spec.js","",""
"","2799","navigation","chromium","Sun Jun 01 20:48:05 IST 2025","passed","Sun Jun 01 20:48:08 IST 2025","TS_01 : Web development Courses","TS_01.spec.js","",""
"","20666","navigation","chromium","Sun Jun 01 20:48:35 IST 2025","passed","Sun Jun 01 20:48:56 IST 2025","TS_03 : Enterprise","TS_03.spec.js","",""
"","292","capturing the Error","chromium","Sun Jun 01 20:48:58 IST 2025","passed","Sun Jun 01 20:48:59 IST 2025","TS_03 : Enterprise","TS_03.spec.js","",""
"","4","writing output in json","chromium","Sun Jun 01 20:48:26 IST 2025","passed","Sun Jun 01 20:48:26 IST 2025","TS_01 : Web development Courses","TS_01.spec.js","",""
"","1","writing output in json","chromium","Sun Jun 01 20:48:35 IST 2025","passed","Sun Jun 01 20:48:35 IST 2025","TS_02 : Language and Levels","TS_02.spec.js","",""
